ProgramArea,IndicatorCode,Indicator
STI,STI1,"Number of  clients diagnosed, treated and counselled  for STI (index plus partners)"
STI,STI2,Number of STI partners treated
STI,STI3,Number of clients referred for HIV Counseling and Testing
STI,STI4,Number of clients tested for HIV
STI,STI4a,Number of clients tested HIV positive
STI,STI5,Number of clients referred for HIV care services
STI,STI6,Number of partner notification slips issued
STI,STI7,Number of partner notification slips received(of those issued by your facility)
TB,TB1,Number of presumptive TB patients  with sputum sent
TB,TB2,Number of registered new and relapse TB cases this month
TB,TB3,Number of TB patients receiving Counselling and Testing services and had results recorded in the TB Register
TB,TB4,Number of registered new and relapse TB patients with documented HIV-Negative status during TB treatment this month
TB,TB5_1,Number of registered new and relapse TB patients with documented HIV-positive status during TB treatment this month- Newly diagnozed
TB,TB5_2,Number of registered new and relapse TB patients with documented HIV-positive status during TB treatment this month- Known Positive at entry
TB,TB5_3,Total number of registered new and relapse TB patients with documented HIV-positive status who are on ART during TB treatment during this month
TB,TB5a,Number of registered new and relapse TB patients with documented HIV-positive status who are on ART this month
TB,TB5b,ART initiation less than 8 weeks of start of TB treatment
TB,TB5c,ART initiation greater than 8 weeks of start of TB treatment
TB,TB6,Number of TB patients refered for HIV care  services
TB,TB7,"Number of PLHIV newly enrolled in HIV clinical care who started IPT and receive at least one dose, during this month"
TB,TB8,Number of patients current on TB treatment
TB,TB9,Number of TB patients who had  follow up sputum smear at 2 months done in the reporting month
TB,TB10,Number of TB patients expected to have final outcome this month
TB,TB11,Number of patients who completed TB treatment this month
TB,TB11_2,Number of TB patients cured
TB,TB12,Number of TB patients successfully treated
TB,TB13,Number of TB Patients who died
TB,TB14,Number of TB patients who transferred out
TB,TB15,Number of TB patients  transferred in
TB,TB16,Number of TB patients who defaulted
ART,ART1,Number of adults and children receiving antiretroviral therapy (ART) [current]
ART,ART2,Number of adults and children newly enrolled on antiretroviral therapy (ART) (including pregnant  women on option B+)
ART,ART2a,Number of pregnant women newly initiating ART (option B+)
ART,ART3,No of NEW clients initiated on ART due to HIV DISCORDANT STATUS
ART,ART4,Number of individuals who ever received antiretroviral therapy (TOTAL CLIENTS)
ART,ART5,No. of pregnant women who have EVER received antiretroviral therapy (TOTAL CLIENTS)
ART,ART6a,Number  of ART clients who are transferred in from another site
ART,ART6b,Number of ART clients who stopped treatment due to loss to follow-up
ART,ART6c,Number of ART clients Lost –to-follow up (LTFU) returned to the clinic.
ART,ART6d,Number of ART clients who stopped treatment due to death
ART,ART6e,Number of ART clients who restarted treatment
ART,ART6f,Number of ART clients transferred out to another facility
ART,ART7a,Number of adults and children initiated on ART 12 months ago (cohort month) including pregnant women on Option B+
ART,ART7b,Number of adults and children known to be alive and on treatment 12 months after initiation of antiretroviral therapy
ART,ART8,Number of clients on ART have bio-chemical investigations done this month
ART,ART9,Number of adult and pediatric ART patients who had there sample collected and sent for viral load test this month.
ART,ART10a,Number of adult and pediatric ART patients with a viral load result documented in the patient medical record this month.
ART,ART10b,"Number of viral load tests from adult and pediatric ART patients conducted this month with a viral load <1,000 copies/ml"
PMTCT,PMTCT1,No. of New ANC Attendances
PMTCT,PMTCT1a,Number of pregnant women with known (positive) HIV infection attending ANC (known positives at entry)
PMTCT,PMTCT2,"Number of pregnant women receiving PMTCT services (counseled, tested and received test results at this site during ANC and L&D  the reporting period)"
PMTCT,PMTCT3,Number of ALL pregnant women who tested positive for HIV
